index;x;y;z
0;-0.051453;-0.695877;-0.903687
1;-0.036926;-0.745682;-0.766602
2;-0.043304;-0.754150;-0.758759
3;-0.069473;-0.791580;-0.671448
4;-0.002502;-0.757385;-0.703903
5;-0.039078;-0.782990;-0.593338
6;-0.068588;-0.785355;-0.677948
7;-0.032211;-0.804352;-0.706131
8;0.068878;-0.820953;-0.865768
9;-0.118393;-0.581573;-0.944977
10;0.380737;-0.823761;-0.507294
11;0.060562;-0.772156;-0.399658
12;-0.010803;-0.753738;-0.336945
13;-0.093613;-0.694611;-0.271423
14;-0.096603;-0.709335;-0.238449
15;-0.052139;-0.734421;-0.526901
16;-0.042725;-0.795532;-0.538574
17;-0.078415;-0.865189;-0.532074
18;-0.008560;-0.866028;-0.589645
19;0.006897;-0.817184;-0.510773
20;-0.033691;-0.716522;-0.300369
21;-0.021637;-0.842407;-0.100693
22;-0.006470;-0.772476;-0.113968
23;-0.350677;-1.234680;-0.137589
24;-0.251663;-1.006943;-0.382797
25;-0.198196;-1.097885;-0.064774
26;-0.130249;-1.034531;-0.006653
27;-0.134735;-1.195389;-0.213730
28;-0.096573;-0.988434;-0.205780
29;-0.236969;-0.804916;-0.077118
30;-0.336517;-0.516953;0.121002
31;-0.150574;-0.459000;0.110229
32;-0.035751;-0.233871;-0.088852
33;-0.025620;-0.374603;0.024292
34;-0.061630;-0.617859;0.156158
35;-0.207489;-3.431229;-0.070572
36;-0.251923;-1.686844;0.250763
37;-0.277267;-0.721832;0.305298
38;-0.277435;-0.821609;0.211441
39;-0.140717;-1.110489;0.137451
40;-0.288864;-1.000031;0.343948
41;-0.224518;-1.008102;0.186813
42;-0.205048;-1.032349;0.108627
43;-0.205887;-1.010910;0.033401
44;-0.153549;-0.957947;0.091110
45;-0.153595;-0.940033;0.140167
46;-0.190765;-0.952347;0.089752
47;-0.177917;-0.918823;0.121521
48;-0.204559;-0.888657;0.128693
49;-0.238174;-0.849792;0.137253
50;-0.233841;-1.036316;0.095566
51;-0.208084;-1.019150;0.115875
52;-0.237320;-0.981720;0.076355
53;-0.217819;-1.039703;0.055038
54;-0.213715;-1.010193;0.035324
55;-0.231537;-0.988708;0.071548
56;-0.234177;-0.999680;0.071060
57;-0.232651;-0.950912;0.082535
58;-0.254456;-0.938278;0.080307
59;-0.236694;-0.970261;0.117615
60;-0.193817;-0.993958;0.051086
61;-0.189316;-0.990173;0.082687
62;-0.228271;-0.980637;0.057587
63;-0.194458;-0.959030;0.034744
64;-0.195267;-0.961975;0.039948
65;-0.215576;-0.984100;0.079300
66;-0.222961;-0.984543;0.061218
67;-0.218887;-0.975204;0.065857
68;-0.208191;-0.975204;0.067917
69;-0.184875;-0.990295;0.076294
70;-0.192657;-1.006897;0.084091
71;-0.220551;-0.996689;0.095169
72;-0.228287;-0.971985;0.099258
73;-0.227707;-0.942871;0.124329
74;-0.213364;-0.962341;0.079208
75;-0.217026;-0.948639;0.107162
76;-0.247620;-0.971863;0.125000
77;-0.221756;-0.969223;0.113693
78;-0.223114;-0.984650;0.079269
79;-0.208725;-0.991470;0.073730
80;-0.185867;-1.022766;0.074341
81;-0.180435;-1.027481;0.068497
82;-0.162613;-1.042023;0.075760
83;-0.170288;-1.043610;0.057465
84;-0.199387;-0.994293;0.046066
85;-0.185333;-0.980606;0.056839
86;-0.172516;-0.959763;0.087158
87;-0.152710;-0.914551;0.117172
88;-0.180054;-0.870117;0.104050
89;-0.121475;-0.819839;0.056839
90;-0.024582;-0.718597;-0.545822
91;-0.479797;-0.820831;0.208130
92;-0.272476;-0.672165;0.227585
93;-0.233429;-0.351364;-0.196716
94;-0.077911;-0.210403;-0.170853
95;-0.089539;-0.397141;0.024399
96;-0.124176;-0.507156;-0.062820
97;-0.072617;-0.627319;-0.246780
98;0.006500;-0.672256;-0.409729
99;0.089493;-0.931915;-0.576096
100;0.047211;-1.380005;-0.591949
101;-0.007172;-1.554459;-0.525223
102;0.020706;-1.568497;-0.613144
103;0.265335;-2.049255;-0.915726
104;-0.004227;-3.086197;-0.907333
105;-0.451981;-3.117081;-0.371704
106;-0.349869;-2.775299;-0.276520
107;-0.237244;-2.290390;-0.157532
108;-0.294495;-1.579102;-0.021866
109;-0.133591;-1.112076;-0.039642
110;-0.111847;-0.838699;0.040024
111;-0.114426;-0.550003;0.044800
112;-0.052338;-0.253189;0.028778
113;-0.037186;-0.041794;0.009720
114;0.011322;0.126526;-0.049881
115;0.081909;0.209717;-0.058105
116;0.030792;0.158661;-0.029999
117;-0.029175;0.062897;0.019897
118;-0.044144;-0.014893;0.093719
119;-0.032486;-0.025757;0.093292
120;0.027328;-0.012909;0.030426
121;0.114426;-0.007019;-0.006210
122;0.115173;0.044128;0.063782
