index;x;y;z
0;-0.025757;-0.015640;-0.091293
1;-0.059875;-0.010559;-0.099625
2;0.009064;0.000961;-0.026703
3;-0.029160;-0.013702;-0.009521
4;0.025208;-0.051834;0.136200
5;0.076614;-0.041656;-0.134155
6;-0.031448;-0.178406;-0.144562
7;-0.116013;-0.200348;-0.296738
8;-0.012405;-0.140488;-0.456528
9;-0.086197;-0.034164;-0.530884
10;0.011841;0.005997;-0.307831
11;0.299973;-0.066727;-0.890350
12;0.123611;-1.173279;-2.421783
13;0.617386;-2.162857;-4.629059
14;0.632751;-3.630554;-4.378647
15;1.430908;-5.282288;-4.358185
16;-0.249512;-4.116409;-3.713776
17;-1.233292;-2.430847;-1.758438
18;-0.915665;-0.742554;0.126404
19;-1.104187;-0.047195;0.592224
20;-0.384857;-0.029404;1.038712
21;-0.183990;-0.050842;0.143539
22;-0.055099;0.094391;-0.019531
23;0.046692;0.028061;0.087738
24;-0.117310;-0.146576;-0.080429
25;-0.404190;-0.244644;-0.177826
26;-0.153366;-0.155396;0.056961
27;-0.140610;-0.124649;-0.448547
28;0.041748;-0.057190;-0.110184
29;0.182922;0.061691;-0.127960
30;0.063538;0.161072;0.884476
31;-0.110764;0.032059;0.183197
32;-0.002701;0.127075;-0.336548
33;-0.021255;0.060425;0.194687
34;0.058472;-0.036179;0.012665
35;0.005844;0.045990;0.079651
36;-0.017258;-0.053894;-0.014923
37;0.140213;0.128799;-0.076172
38;0.087143;0.065018;0.009888
39;0.022858;0.063660;0.063812
40;0.047134;0.149521;0.172546
41;0.008820;0.060593;0.065201
42;-0.245148;0.017365;0.078018
43;-0.255737;-0.236435;-0.177643
44;-0.178268;-1.242874;0.145111
45;-1.574326;-3.073532;0.355896
46;-0.986511;-3.350937;-0.012024
47;-1.373016;-5.324371;0.521576
48;-2.293472;-6.749725;1.257248
49;-1.560059;-6.072235;1.190765
50;-0.810211;-3.557358;0.608261
51;-0.455872;-2.237808;0.541626
52;-0.433624;-0.998489;0.098511
53;0.173019;-0.145737;-0.276962
54;0.365173;0.327972;-0.569229
55;0.377502;-0.013046;-0.246185
56;0.016220;-0.318604;0.033691
57;-0.291275;-0.203262;0.059036
58;-0.123260;0.074478;-0.036316
59;0.164856;0.173691;0.000504
60;0.060349;0.028992;-0.040436
61;-0.078964;-0.091293;0.073593
62;-0.032364;0.004868;0.090271
63;0.016113;0.072586;0.107666
64;-0.040344;0.078262;0.078430
65;-0.027008;0.112518;0.084030
66;-0.017517;0.058380;-0.000641
67;0.019516;-0.011826;-0.037598
68;0.023346;-0.063614;0.041458
69;-0.086212;-0.038422;-0.017441
70;-0.033081;-0.024780;-0.055542
71;0.088455;0.017288;-0.053711
72;0.026688;0.030457;-0.019089
73;0.110168;0.000275;0.000732
74;-0.007614;0.082047;0.057419
75;0.021194;0.102768;0.081924
76;-0.001770;0.252670;0.146439
77;-0.132080;0.135056;-0.123993
78;-0.076614;-0.748978;-0.193069
79;-1.266068;-2.384872;-0.104218
80;-1.285629;-3.272995;-0.222565
81;-0.567062;-3.416611;0.552582
82;-1.814835;-6.517105;1.187393
83;-3.037659;-7.202240;1.719086
84;-1.529831;-5.127045;1.750000
85;-0.657257;-2.688553;1.117432
86;-0.371796;-1.440262;0.619675
87;-0.463135;-0.880157;-0.267593
88;0.146057;-0.051804;-0.773087
89;0.429138;0.217270;-0.046906
90;-0.079041;0.016327;0.315323
91;-0.273697;-0.030884;0.304123
92;-0.080826;0.164047;-0.062195
93;0.100876;0.083710;-0.070953
94;-0.003891;-0.085175;-0.027100
95;-0.112244;-0.116470;0.046432
96;0.023422;-0.073517;-0.022705
97;-0.060501;-0.025330;0.012238
98;-0.005386;0.040604;0.030426
99;-0.020950;0.023834;0.053772
100;-0.013565;0.011887;0.001053
101;-0.068726;-0.029114;0.015732
102;-0.011566;0.050919;-0.013702
103;-0.034500;-0.001236;-0.027466
104;-0.220901;0.048569;0.028412
105;0.116180;-0.121872;0.007004
106;-0.083710;0.129059;0.064041
107;0.143646;0.253082;-0.020279
108;0.196365;0.167130;0.040314
109;0.141418;-0.047379;-0.158539
110;-0.053116;-0.117691;0.145874
111;0.062576;-0.065521;-0.037018
112;-0.224716;-0.012573;0.070068
113;-0.318512;-0.421371;-0.453110
114;-0.182724;-1.265961;-0.377701
115;-1.218033;-2.433990;0.266327
116;-1.001511;-3.985229;-0.420792
117;0.251968;-4.813507;1.198395
118;-3.120880;-7.525803;1.107437
119;-2.280075;-6.395874;1.616608
120;-1.132156;-4.106369;1.499130
121;-0.562744;-2.333618;0.736099
122;-0.145782;-0.934280;0.012955
123;-0.466354;-0.435379;-0.080246
124;0.298111;0.280853;-0.211746
125;0.541000;0.388641;-0.453003
126;-0.126709;-0.117310;0.180466
127;-0.498886;-0.274857;0.032608
128;0.096542;0.014252;0.001266
129;0.099762;0.090759;-0.121078
130;0.011871;-0.034134;-0.000824
131;-0.060242;-0.071365;0.054260
132;-0.038254;-0.042343;0.046906
133;0.026291;-0.024460;0.052139
134;-0.003265;0.065201;0.008865
135;0.044724;0.085083;-0.012039
136;0.012329;0.086151;0.012634
137;0.047440;0.104538;0.133652
138;-0.041794;0.035400;0.144943
139;0.061920;0.037628;-0.006088
140;0.162125;0.124756;0.013870
141;0.031204;0.153381;-0.118652
142;0.045288;0.084473;-0.039490
143;0.042038;-0.087738;0.050079
144;-0.045349;-0.137650;0.047760
145;-0.174225;-0.074326;0.074860
146;-0.032700;0.085754;-0.128510
147;-0.024033;0.278885;-0.091568
148;-0.314240;-0.067154;-0.212936
149;-0.088562;-0.472855;-0.424728
150;-0.272415;-1.758545;-0.267120
151;-1.023102;-3.304947;-0.928329
152;0.007950;-3.160980;-0.076340
153;-0.637497;-5.548721;0.589584
154;-3.182175;-7.803574;1.117264
155;-1.852844;-6.537933;1.538177
156;-1.270691;-4.045517;0.843719
157;-0.683075;-2.050613;0.575577
158;-0.354599;-0.735275;-0.167038
159;-0.010818;-0.207458;-0.391266
160;0.298599;0.188538;-0.373474
161;0.430099;0.232986;-0.212372
162;-0.033203;-0.239777;0.184692
163;-0.370041;-0.250153;0.078262
164;0.007172;0.074203;-0.129532
165;0.187683;0.170258;-0.002228
166;-0.041901;-0.003601;0.028763
167;-0.021103;-0.053833;0.035660
168;0.009811;-0.015167;0.061249
169;-0.024475;-0.016678;0.018661
170;-0.017700;0.002686;0.026505
171;-0.013153;0.027954;0.075699
172;0.019211;0.031555;0.042084
173;-0.014099;0.022964;-0.008102
174;0.008972;-0.012772;0.007126
175;0.022751;-0.000732;0.027603
176;0.002075;0.008392;-0.019394
177;0.006989;-0.019547;-0.035233
178;-0.016464;0.020157;0.023422
179;-0.034592;0.100220;0.037476
180;0.066162;0.095795;0.010498
181;-0.024567;0.210114;0.017746
182;0.182159;0.056366;0.162796
183;-0.028687;0.081802;0.115173
184;0.037750;0.317322;-0.155533
185;-0.249100;-0.303589;-0.358612
186;0.122437;-0.992416;-0.639694
187;-0.833694;-2.280640;-0.717651
188;-0.962631;-2.695236;-0.348007
189;-0.281708;-2.649811;-0.254150
190;-1.312271;-6.181580;0.837036
191;-3.380997;-7.296371;1.379211
192;-2.640686;-6.321259;1.689880
193;-1.949829;-3.423935;1.507050
194;-0.789383;-1.970642;0.491028
195;-0.473007;-0.755188;-0.202057
196;0.288803;-0.336121;-0.465317
197;0.351913;0.018372;-0.906921
198;-0.287369;-0.023453;0.165848
199;-0.442337;-0.216980;0.111679
200;0.061707;0.092743;0.119614
201;0.429611;0.359467;0.078293
202;0.025101;0.050201;0.130814
203;-0.091049;-0.155823;0.047516
204;-0.123444;0.041855;-0.108124
205;0.146683;0.178024;0.021683
206;-0.021530;0.074921;0.073639
207;-0.259781;0.028244;-0.036102
208;-0.030807;0.161728;0.058655
209;0.125015;-0.100937;-0.010849
210;-0.010101;-0.139648;0.058014
211;-0.033051;-0.053467;0.069855
212;0.036209;-0.020966;-0.035889
213;0.034592;-0.101456;-0.050354
214;-0.047729;0.003250;0.128525
215;0.033875;-0.093704;-0.061020
216;-0.080734;0.003616;0.015778
217;0.092148;-0.072556;-0.078369
218;-0.053772;-0.175644;-0.026611
219;-0.053238;0.001648;0.063751
220;0.141953;0.085434;0.036179
221;-0.160126;0.056931;-0.047943
222;-0.137665;0.116898;-0.138275
223;0.315002;0.167938;-0.319672
224;0.197968;-0.779602;-0.464294
